year,country,fmp_management_area,council_management_area_id,council_management_area,council_sablefish_management_area_id,council_sablefish_management_area,geographic_area_name,area_code,exploitable,species_code,species,area_size_km,cpue,cpue_var,rpn,rpn_var,rpw,rpw_var,mean_length,mean_weight,last_modified_date,akfin_load_date
1996,United States,BSAI,1,Aleutians,1,Aleutians,SW Aleutians slope,17,1,10115,Greenland turbot,13609,0.527611357319618,0.014105658999461,7771.71529331797,3060545.73952414,42800.9571923937,92826520.724275,82.1498062540199,5.45444376508555,2021-07-24T01:47:07Z,2021-09-17T21:56:33Z
1996,United States,BSAI,1,Aleutians,1,Aleutians,NE Aleutians slope,15,1,10115,Greenland turbot,14120,0,0,0,0,NA,NA,NA,NA,2021-07-24T01:47:07Z,2021-09-17T21:56:32Z
1996,United States,BSAI,1,Aleutians,1,Aleutians,SE Aleutians slope,18,1,10115,Greenland turbot,14730,0.172069758127226,0.00150028651603016,2534.58753721405,325521.51621396,13958.6653121409,9873085.50263025,82.1498062540199,5.45444376508555,2021-07-24T01:47:07Z,2021-09-17T21:56:32Z
1996,United States,BSAI,1,Aleutians,1,Aleutians,NW Aleutians slope,16,1,10115,Greenland turbot,6305,0,0,0,0,NA,NA,NA,NA,2021-07-24T01:47:07Z,2021-09-17T21:56:33Z
1997,United States,BSAI,2,Bering Sea,2,Bering Sea,Bering 3 slope,7,1,10115,Greenland turbot,8453,0.842469416436377,0.0295309070232515,7121.39397713669,2110078.07149195,38443.0856152569,61490068.3812225,84.1851940238036,5.95164997917986,2021-07-24T01:42:12Z,2021-09-17T21:56:32Z
1997,United States,BSAI,2,Bering Sea,2,Bering Sea,Bering 1 slope,9,1,10115,Greenland turbot,5478,2.37351617051743,0.0168809961867398,13002.1215820945,506573.103973842,78149.4826212472,18300623.923066,81.021566537578,5.19209762145928,2021-07-24T01:42:12Z,2021-09-17T21:56:32Z
1997,United States,BSAI,2,Bering Sea,2,Bering Sea,Bering 2 slope,8,1,10115,Greenland turbot,16817,1.616223656933,0.0690899815514184,27180.0332386422,19539440.5575392,126557.81184,423633282.422153,76.3923937751446,4.20988174666175,2021-07-24T01:42:12Z,2021-09-17T21:56:32Z
1997,United States,BSAI,2,Bering Sea,2,Bering Sea,Bering 4 slope,6,1,10115,Greenland turbot,5721,1.73269562743654,0.0172068898401281,9912.75168456447,563178.768571909,54480.3038643494,17011274.8639126,78.9207239713954,4.72796497817624,2021-07-24T01:42:12Z,2021-09-17T21:56:32Z
1998,United States,BSAI,1,Aleutians,1,Aleutians,NW Aleutians slope,16,1,10115,Greenland turbot,6305,0.458401415765178,0.0183101368121303,6472.62799060432,3650572.5408364,33058.7044846029,95229466.076383,78.9204601596489,4.72790864487756,2021-07-24T01:37:13Z,2021-09-17T21:56:30Z
1998,United States,BSAI,1,Aleutians,1,Aleutians,SW Aleutians slope,17,1,10115,Greenland turbot,13609,0.444043207617265,0.0212848299820575,6540.75644820231,4618231.28721396,35728.4138994678,137799358.845044,82.7925572759001,5.60809259880668,2021-07-24T01:37:13Z,2021-09-17T21:56:30Z
1998,United States,BSAI,1,Aleutians,1,Aleutians,SE Aleutians slope,18,1,10115,Greenland turbot,14730,0.144815698662936,0.00226386753141385,2133.13524130505,491197.903506705,11652.0985620608,14656424.0636131,82.7925572759001,5.60809259880668,2021-07-24T01:37:13Z,2021-09-17T21:57:26Z
1998,United States,BSAI,1,Aleutians,1,Aleutians,NE Aleutians slope,15,1,10115,Greenland turbot,14120,1.46949610413664,0.188164013039016,20749.2849904093,37515087.2012461,105976.194176534,978625046.898833,78.9204601596489,4.72790864487756,2021-07-24T01:37:13Z,2021-09-17T21:57:26Z
1999,United States,BSAI,2,Bering Sea,2,Bering Sea,Bering 4 slope,6,1,10115,Greenland turbot,5721,1.95524550216629,0.0679770167746885,11185.9595178934,2224876.95068989,55445.996319766,54663809.4567619,76.6294821767303,4.25663882996008,2021-07-24T01:32:24Z,2021-09-17T21:57:26Z
1999,United States,BSAI,2,Bering Sea,2,Bering Sea,Bering 3 slope,7,1,10115,Greenland turbot,8453,0.822356645674761,0.0965788672542566,6951.38072588875,6900869.98690165,36214.7588143976,187297891.759268,81.046641948536,5.19782759126683,2021-07-24T01:32:24Z,2021-09-17T21:57:26Z
1999,United States,BSAI,2,Bering Sea,2,Bering Sea,Bering 1 slope,9,1,10115,Greenland turbot,5478,1.75250124528127,0.072116870705601,9600.20182165077,2164117.9606991,50525.7569218568,59944019.3540329,80.0188369499187,4.96666648974538,2021-07-24T01:32:24Z,2021-09-17T21:57:26Z
1999,United States,BSAI,2,Bering Sea,2,Bering Sea,Bering 2 slope,8,1,10115,Greenland turbot,16817,1.86982730254976,0.24811867712197,31444.8857469793,70170812.5255745,135241.72479607,1298009481.78886,76.4003248013282,4.21143985157982,2021-07-24T01:32:24Z,2021-09-17T21:57:26Z
2000,United States,BSAI,1,Aleutians,1,Aleutians,NW Aleutians slope,16,1,10115,Greenland turbot,6305,0.254695123555613,0.00479238998001955,3596.29514460525,955479.87683241,17223.0459684072,21914461.9907133,78.2917616594237,4.59502505820808,2021-07-24T01:27:35Z,2021-09-17T21:57:24Z
2000,United States,BSAI,1,Aleutians,1,Aleutians,NE Aleutians slope,15,1,10115,Greenland turbot,14120,0.816475427290781,0.0492489673857076,11528.6330333458,9818983.32314502,55211.8690770046,225203839.494624,78.2917616594237,4.59502505820808,2021-07-24T01:27:35Z,2021-09-17T21:57:22Z
2000,United States,BSAI,1,Aleutians,1,Aleutians,SE Aleutians slope,18,1,10115,Greenland turbot,14730,0.0920698577619946,0.00109032925587767,1356.18900483418,236571.900602619,7687.07027163829,7600539.55078124,82.8694820833942,5.62668764904863,2021-07-24T01:27:35Z,2021-09-17T21:57:23Z
2000,United States,BSAI,1,Aleutians,1,Aleutians,SW Aleutians slope,17,1,10115,Greenland turbot,13609,0.282310518424236,0.0102512503553269,4158.43393638899,2224243.51822131,23570.5891841352,71460096.4347274,82.8694820833942,5.62668764904863,2021-07-24T01:27:35Z,2021-09-17T21:57:24Z
2001,United States,BSAI,2,Bering Sea,2,Bering Sea,Bering 1 slope,9,1,10115,Greenland turbot,5478,0.895433974482223,0.010013954633712,4905.18731221362,300503.597402471,28304.9779596546,10006083.5531358,81.9653178282141,5.4109074295608,2021-07-24T01:22:54Z,2021-09-17T21:57:22Z
2001,United States,BSAI,2,Bering Sea,2,Bering Sea,Bering 2 slope,8,1,10115,Greenland turbot,16817,1.61118396976753,0.107946773215401,27095.2808195806,30528587.665793,101542.107406318,428757515.071919,75.1805600744265,3.97664215382324,2021-07-24T01:22:54Z,2021-09-17T21:57:22Z
2001,United States,BSAI,2,Bering Sea,2,Bering Sea,Bering 3 slope,7,1,10115,Greenland turbot,7518,0.842915934070068,0.0551635389761855,6337.04199233877,3117861.09592063,27973.5608315831,60754590.4897299,73.9704884999171,3.75316575789616,2021-07-24T01:22:54Z,2021-09-17T21:57:22Z
