fmp,year,rpn
Aleutians,1996,39262
Aleutians,1998,37784
Aleutians,2000,22037
Aleutians,2002,20170
Aleutians,2004,15115
Aleutians,2006,6331
Aleutians,2008,5374
Aleutians,2010,3347
Aleutians,2012,7639
Aleutians,2014,6315
Aleutians,2016,3367
Aleutians,2018,5672
Aleutians,2020,5697
Bering Sea,1997,59328
Bering Sea,1999,63144
Bering Sea,2001,50975
Bering Sea,2003,46616
Bering Sea,2005,23107
Bering Sea,2007,18074
Bering Sea,2009,27850
Bering Sea,2011,16184
Bering Sea,2013,21166
Bering Sea,2015,21001
Bering Sea,2017,20792
Bering Sea,2019,10403
