year,fmp,rpn,rpn_var
1996,Aleutians,33439.8175391685,3386067.2557381
1997,Bering Sea,57216.3004824379,22719270.5015769
1998,Aleutians,35895.804670521,46275088.9328032
1999,Bering Sea,59182.4278124121,81460677.4238651
2000,Aleutians,20639.5511191742,13235278.6188014
2001,Bering Sea,52369.4254481134,34955946.0565981
2002,Aleutians,19217.3525483078,21540467.0119162
2003,Bering Sea,45017.5015788632,112571006.829625
2004,Aleutians,14408.4551638048,22173923.7878214
2005,Bering Sea,23436.9283919283,12830879.2282932
2006,Aleutians,6430.4336664476205,3154230.80417022
2007,Bering Sea,17019.7363935607,17277351.9644832
2008,Aleutians,5300.93094352977,2577865.39645137
2009,Bering Sea,25744.1573173125,39426822.3567602
2010,Aleutians,3110.95908806562,931133.195664974
2011,Bering Sea,14590.3531960252,10500925.147552
2012,Aleutians,6677.27984797319,4094127.83499629
2013,Bering Sea,19485.4747314245,23941707.6780839
2014,Aleutians,5578.90875769734,1285407.02309284
2015,Bering Sea,20930.4501549686,23967199.9108434
2016,Aleutians,2962.17923590047,503766.587278869
2017,Bering Sea,20218.3931320785,20761489.3705687
2018,Aleutians,5256.83308939896,3658419.25629443
2019,Bering Sea,9950.89600931864,7030528.2520113
2020,Aleutians,4791.50844231295,2192331.6600068
2021,Bering Sea,15375.9874736386,9147174.14266661
2022,Aleutians,2921.93190987885,1113799.45166163
2023,Bering Sea,10279.1314037308,2928067.17268249
